"sugar","sugar","148"
"orange","orange","117"
"lemon","lemon","117"
"mint","mint","117"
"lemon_juice","lemon juice","115"
"vodka","vodka","104"
"liqueur","liqueur","99"
"rum","rum","97"
"gin","gin","93"
"lime","lime","78"
"lime_juice","lime juice","77"
"apple_juice","apple juice","55"
"caster_sugar","caster sugar","54"
"cognac","cognac","50"
"syrup","syrup","49"
"nutmeg","nutmeg","47"
"whisky","whisky","47"
"apple","apple","43"
"honey","honey","43"
"pineapple","pineapple","41"
"cinnamon","cinnamon","41"
"milk","milk","40"
"raspberry","raspberry","39"
"champagne","champagne","38"
"double_cream","double cream","37"
"vermouth","vermouth","35"
"passion_fruit","passion fruit","32"
"strawberry","strawberry","32"
"orange_juice","orange juice","31"
"cherry","cherry","31"
"elderflower","elderflower","29"
"brandy","brandy","28"
"mango","mango","28"
"peach","peach","28"
"cranberry_juice","cranberry juice","27"
"tequila","tequila","25"
"yoghurt","yoghurt","25"
"egg_white","egg white","24"
"bitters","angostura bitters","24"
"brown_sugar","brown sugar","23"
"grapefruit_juice","grapefruit juice","23"
"blackberry","blackberry","22"
"ginger_ale","ginger ale","22"
"cloves","cloves","21"
"chocolate","chocolate","21"
"ginger","ginger","20"
"apricot","apricot","19"
"orange_liqueur","orange liqueur","19"
"allspice","allspice","19"
"grapefruit","grapefruit","19"
"cider","cider","18"
"pineapple_juice","pineapple juice","18"
"dark_chocolate","dark chocolate","17"
"banana","banana","17"
"plum","plum","16"
"port","port","15"
"tabasco","Tabasco","15"
"cucumber","cucumber","15"
"lemonade","lemonade","15"
"coffee","coffee","15"
"ice_cream","ice cream","14"
"pomegranate","pomegranate","14"
"egg","egg","14"
"tomato_juice","tomato juice","13"
"grapes","grapes","12"
"ginger_beer","ginger beer","12"
"white_wine","white wine","12"
"watermelon","watermelon","12"
"clementine","clementine","12"
"cocoa","cocoa powder","12"
"worcestershire_sauce","worcestershire sauce","12"
"celery","celery","11"
"wild_duck","wild duck","11"
"maple_syrup","maple syrup","10"
"black_pepper","black pepper","10"
"red_wine","red wine","10"
"herbal_liqueur","herbal liqueur","10"
"coffee_liqueur","coffee liqueur","10"
"single_cream","single cream","9"
"sparkling_wine","sparkling wine","9"
"lychee","lychee","9"
"coconut","coconut","9"
"cherry_brandy","cherry brandy","9"
"pear","pear","9"
"salt","salt","9"
"sherry","sherry","9"
"cola","cola","9"
"lemongrass","lemongrass","8"
"rhubarb","rhubarb","7"
"vanilla_pod","vanilla pod","7"
"basil","basil","7"
"tonic","tonic","7"
"zest","zest","7"
"sloe_gin","sloe gin","6"
"wine","wine","6"
"pumpkin","pumpkin","5"
"mascarpone_cheese","mascarpone","5"
"tea","tea","5"
"icing_sugar","icing sugar","5"
"digestive_biscuit","digestive biscuit","5"
"berry","berry","5"
"blueberry","blueberry","5"
"condensed_milk","condensed milk","5"
"star_anise","star anise","5"
"rosemary","rosemary","5"
"butter","butter","5"
"thyme","thyme","5"
"marmalade","marmalade","5"
"hazelnut","hazelnut","5"
"cardamom","cardamom","5"
"chilli","chilli","5"
"pomegranate_juice","pomegranate juice","5"
"mixed_berries","mixed berries","4"
"mincemeat","mincemeat","4"
"blood_orange","blood orange","4"
"sorbet","sorbet","4"
"passion_fruit_juice","passion fruit juice","4"
"carrot","carrot","4"
"kumquat","kumquat","4"
"white_chocolate","white chocolate","4"
"mandarin","mandarin","4"
"lime_leaves","lime leaves","4"
"cream_liqueur","cream liqueur","4"
"calvados","calvados","4"
"rosewater","rosewater","4"
"soda","soda","3"
"nectarine","nectarine","3"
"cranberry","cranberry","3"
"sloe","sloe","3"
"dried_fruit","dried fruit","3"
"sage","sage","3"
"sweet_sherry","sweet sherry","3"
"coconut_cream","coconut cream","3"
"lager","lager","3"
"bay_leaf","bay leaf","3"
"egg_yolk","egg yolk","3"
"dandelion","dandelion","3"
"passata","passata","3"
"curacao","curacao","3"
"olive","olive","3"
"raisins","raisins","3"
"lemon_curd","lemon curd","3"
"bramley_apple","bramley apple","3"
"guava","guava","3"
"almond","almond","3"
"demerara_sugar","demerara sugar","3"
"beetroot","beetroot","3"
"coriander","coriander","3"
"egg_liqueur","egg liqueur","3"
"garam_masala","garam masala","3"
"blackcurrant","blackcurrant","3"
"mixed_spice","mixed spice","3"
"cape_gooseberries","cape gooseberries","3"
"maize","maize","2"
"grape_juice","grape juice","2"
"spring_onion","spring onion","2"
"toffee","toffee","2"
"fruit","fruit","2"
"coriander_fresh","fresh coriander","2"
"fig","fig","2"
"coconut_milk","coconut milk","2"
"vanilla_extract","vanilla extract","2"
"kirsch","kirsch","2"
"oregano","oregano","2"
"soy_sauce","soy sauce","2"
"cava","cava","2"
"fruit_salad","fruit salad","2"
"ginger_biscuit","ginger biscuit","2"
"damsons","damsons","2"
"biscuit","biscuits","2"
"fruit_juice","fruit juice","2"
"cream_soda","cream soda","2"
"coffee_beans","coffee beans","2"
"apple_sauce","apple sauce","2"
"brandy_butter","brandy butter","2"
"vanilla_essence","vanilla essence","2"
"apricot_jam","apricot jam","2"
"dried_apricot","dried apricots","2"
"ginger_ground","ground ginger","2"
"cayenne_pepper","cayenne pepper","2"
"madeira","madeira","2"
"balsamic_vinegar","balsamic vinegar","2"
"redcurrant","redcurrant","2"
"horseradish_sauce","horseradish sauce","2"
"chestnut","chestnut","2"
"exotic_fruit","exotic fruit","2"
"thai_basil","Thai basil","2"
"melon","melon","1"
"shortbread","shortbread","1"
"irish_stout","Irish stout","1"
"fennel_seeds","fennel seeds","1"
"sea_salt","sea salt","1"
"preserves","preserves","1"
"prune","prune","1"
"mixed_spices","mixed spices","1"
"juniper_berries","juniper berries","1"
"potato","potato","1"
"bread","bread","1"
"wasabi","wasabi","1"
"mango_chutney","mango chutney","1"
"peel","peel","1"
"ale","ale","1"
"artichoke","artichoke","1"
"ling","ling","1"
"caramel","caramel","1"
"ground_almonds","ground almonds","1"
"amaretti","amaretti","1"
"macaroon","macaroon","1"
"horseradish","horseradish","1"
"prune_juice","prune juice","1"
"sambuca","sambuca","1"
"peppercorn","peppercorn","1"
"cream_cheese","cream cheese","1"
"almond_essence","almond essence","1"
"white_pepper","white pepper","1"
"dried_chilli","dried chilli","1"
"crayfish","crayfish","1"
"biscotti","biscotti","1"
"garlic","garlic","1"
"stem_ginger","stem ginger","1"
"dry_sherry","dry sherry","1"
"dijon_mustard","Dijon mustard","1"
"pumpkin_seed","pumpkin seed","1"
"cream","cream","1"
"chilli_powder","chilli powder","1"
"quince","quince","1"
"summer_fruit","summer fruit","1"
"strawberry_jam","strawberry jam","1"
"sauce","sauces","1"
"fromage_frais","fromage frais","1"
"vinegar","vinegar","1"
"ouzo","ouzo","1"
"lime_cordial","lime cordial","1"
"nashi","nashi","1"
"pecan_nut","pecan","1"
"asparagus","asparagus","1"
"soya_milk","soya milk","1"
"brandy_snaps","brandy snaps","1"
"marsala_wine","Marsala wine","1"
"mince_pies","mince pies","1"
"brazil_nut","brazil nut","1"
"celery_seeds","celery seeds","1"
"chives","chives","1"
"tangerine","tangerine","1"
"meringue","meringue","1"
"mango_juice","mango juice","1"
"rice_wine","rice wine","1"
"yeast","yeast","1"
"seed","seeds","1"
"kiwi_fruit","kiwi fruit","1"
"coffee_granules","coffee granules","1"
"cocktails","cocktail","1"
"cheese","cheese","1"
"papaya","papaya","1"
"greengages","greengages","1"
"wheatgerm","wheatgerm","1"
"citrus_fruit","citrus fruit","1"
"evaporated_milk","evaporated milk","1"
"coffee_essence","coffee essence","1"
